Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Development Level,Continent,Region
Lesotho,2017,3.795,7.931,0.769,47.3,0.757,-0.145,0.797,0.746,0.255,Developing,Africa,Africa
Lesotho,2019,3.512,7.926,0.79,48.7,0.716,-0.131,0.915,0.735,0.273,Developing,Africa,Africa
Liberia,2017,4.424,7.324,0.685,55.3,0.733,-0.012,0.867,0.668,0.391,Developing,Africa,Africa
Liberia,2018,4.135,7.311,0.727,56.1,0.766,0.05,0.868,0.66,0.436,Developing,Africa,Africa
Liberia,2019,5.121,7.264,0.712,56.9,0.706,0.051,0.828,0.636,0.389,Developing,Africa,Africa
Libya,2017,5.647,9.491,0.823,62.3,0.779,-0.019,0.673,0.697,0.379,Developing,Africa,Middle east
Libya,2018,5.494,9.617,0.824,62.3,0.781,-0.101,0.646,0.706,0.399,Developing,Africa,Middle east
Libya,2019,5.33,9.627,0.827,62.3,0.762,-0.073,0.686,0.709,0.401,Developing,Africa,Middle east
Lithuania,2017,6.273,10.429,0.926,66.7,0.749,-0.174,0.79,0.608,0.195,Developed,Europe,Europe
Lithuania,2018,6.309,10.474,0.929,67.3,0.699,-0.237,0.852,0.517,0.214,Developed,Europe,Europe
Lithuania,2019,6.064,10.518,0.918,67.9,0.78,-0.251,0.783,0.566,0.276,Developed,Europe,Europe
Luxembourg,2017,7.061,11.634,0.905,72.6,0.903,0.044,0.33,0.766,0.184,Developed,Europe,Europe
Luxembourg,2018,7.243,11.645,0.902,72.6,0.884,-0.022,0.385,0.75,0.202,Developed,Europe,Europe
Luxembourg,2019,7.404,11.648,0.912,72.6,0.93,-0.045,0.39,0.789,0.212,Developed,Europe,Europe
Madagascar,2017,4.079,7.368,0.626,58.7,0.57,-0.033,0.847,0.752,0.375,Developing,Africa,Africa
Madagascar,2018,4.071,7.386,0.666,59.1,0.551,0.003,0.889,0.752,0.362,Developing,Africa,Africa
Madagascar,2019,4.339,7.406,0.701,59.5,0.55,-0.012,0.72,0.723,0.304,Developing,Africa,Africa
Malawi,2017,3.417,6.945,0.555,56.9,0.848,0.025,0.735,0.609,0.312,Developing,Africa,Africa
Malawi,2018,3.335,6.949,0.528,57.6,0.799,0.073,0.766,0.586,0.365,Developing,Africa,Africa
Malawi,2019,3.869,6.966,0.549,58.3,0.765,0.004,0.68,0.537,0.348,Developing,Africa,Africa
Malaysia,2018,5.339,10.223,0.789,67,0.875,0.127,0.894,0.824,0.2,Developing,Asia,Asia & Pacific
Malaysia,2019,5.428,10.252,0.842,67.2,0.916,0.123,0.782,0.834,0.176,Developing,Asia,Asia & Pacific
Maldives,2018,5.198,9.826,0.913,70.6,0.855,0.024,,,,Developing,Asia,Asia & Pacific
Mali,2017,4.742,7.718,0.741,51.2,0.753,-0.069,0.863,0.742,0.393,Developing,Africa,Africa
Mali,2018,4.416,7.733,0.692,51.7,0.737,-0.034,0.793,0.77,0.37,Developing,Africa,Africa
Mali,2019,4.988,7.752,0.755,52.2,0.67,-0.038,0.846,0.712,0.358,Developing,Africa,Africa
Malta,2017,6.676,10.635,0.937,72.2,0.924,0.253,0.69,0.721,0.302,Developed,Europe,Europe
Malta,2018,6.91,10.67,0.932,72.2,0.927,0.179,0.595,0.721,0.296,Developed,Europe,Europe
Malta,2019,6.733,10.677,0.922,72.2,0.924,0.087,0.689,0.707,0.356,Developed,Europe,Europe
Mauritania,2017,4.678,8.533,0.779,56.7,0.527,-0.153,0.777,0.637,0.272,Developing,Africa,Arab States
Mauritania,2018,4.314,8.526,0.802,57,0.467,-0.112,0.711,0.663,0.276,Developing,Africa,Arab States
Mauritania,2019,4.153,8.556,0.798,57.3,0.628,-0.102,0.743,0.692,0.26,Developing,Africa,Arab States
Mauritius,2017,6.174,9.972,0.91,66.1,0.912,0.087,0.818,0.748,0.169,Developing,Africa,Africa
Mauritius,2018,5.882,10.008,0.909,66.4,0.867,-0.073,0.785,0.774,0.158,Developing,Africa,Africa
Mauritius,2019,6.241,10.043,0.913,66.7,0.893,-0.053,0.81,0.808,0.149,Developing,Africa,Africa
Mexico,2017,6.41,9.893,0.8,68,0.861,-0.202,0.801,0.843,0.231,Developing,North America,South/Latin America
Mexico,2018,6.55,9.903,0.858,68.3,0.816,-0.179,0.809,0.882,0.213,Developing,North America,South/Latin America
Mexico,2019,6.432,9.891,0.852,68.6,0.903,-0.141,0.809,0.864,0.252,Developing,North America,South/Latin America
Moldova,2017,5.326,9.363,0.831,64.3,0.553,-0.053,0.926,0.581,0.259,#N/A,Europe,Europe
Moldova,2018,5.682,9.423,0.892,65,0.824,-0.084,0.929,0.582,0.27,#N/A,Europe,Europe
Moldova,2019,5.803,9.475,0.809,65.7,0.784,-0.092,0.884,0.631,0.262,#N/A,Europe,Europe
Mongolia,2017,5.334,9.334,0.924,62.1,0.675,0.119,0.865,0.675,0.214,Developing,Asia,Asia & Pacific
Mongolia,2018,5.465,9.386,0.942,62.3,0.696,0.054,0.849,0.654,0.192,Developing,Asia,Asia & Pacific
Mongolia,2019,5.563,9.418,0.946,62.5,0.711,0.149,0.873,0.707,0.167,Developing,Asia,Asia & Pacific
Montenegro,2017,5.615,9.885,0.881,68.3,0.626,-0.083,0.756,0.519,0.35,Developed,Europe,Europe
Montenegro,2018,5.65,9.934,0.856,68.5,0.626,-0.051,0.769,0.59,0.355,Developed,Europe,Europe
Montenegro,2019,5.386,9.97,0.832,68.7,0.694,-0.105,0.82,0.591,0.366,Developed,Europe,Europe
Morocco,2017,5.312,8.898,0.641,65.6,0.814,-0.216,0.841,0.559,0.323,Developing,Africa,Arab States
Morocco,2018,4.897,8.914,0.554,65.9,0.773,-0.234,0.843,0.638,0.416,Developing,Africa,Arab States
Morocco,2019,5.057,8.925,0.535,66.2,0.757,-0.244,0.757,0.589,0.41,Developing,Africa,Arab States
Mozambique,2017,4.28,7.157,0.678,53.2,0.823,-0.03,0.682,0.648,0.353,Developing,Africa,Africa
Mozambique,2018,4.654,7.162,0.738,54.2,0.897,0.049,0.691,0.64,0.397,Developing,Africa,Africa
Mozambique,2019,4.932,7.155,0.742,55.2,0.87,0.073,0.682,0.587,0.384,Developing,Africa,Africa
Myanmar,2017,4.154,8.464,0.795,58.7,0.886,0.65,0.619,0.746,0.282,Developing,Asia,Asia & Pacific
Myanmar,2018,4.411,8.523,0.774,59,0.906,0.49,0.647,0.777,0.3,Developing,Asia,Asia & Pacific
Myanmar,2019,4.434,8.545,0.763,59.3,0.899,0.561,0.682,0.755,0.286,Developing,Asia,Asia & Pacific
Namibia,2017,4.441,9.215,0.828,56.2,0.81,-0.19,0.831,0.721,0.277,Developing,Africa,Africa
Namibia,2018,4.834,9.204,0.864,56.5,0.754,-0.169,0.846,0.739,0.24,Developing,Africa,Africa
Namibia,2019,4.436,9.173,0.845,56.8,0.739,-0.174,0.879,0.672,0.256,Developing,Africa,Africa
Nepal,2017,4.737,8.039,0.816,62.4,0.845,0.134,0.77,0.571,0.376,Developing,Asia,Asia & Pacific
Nepal,2018,4.91,8.087,0.768,63.5,0.77,0.122,0.742,0.537,0.387,Developing,Asia,Asia & Pacific
Nepal,2019,5.449,8.136,0.772,64.6,0.79,0.167,0.712,0.536,0.357,Developing,Asia,Asia & Pacific
Netherlands,2017,7.459,10.921,0.937,72.2,0.92,0.25,0.363,0.852,0.185,#N/A,Europe,Europe
Netherlands,2018,7.463,10.941,0.939,72.3,0.92,0.161,0.371,0.862,0.205,#N/A,Europe,Europe
Netherlands,2019,7.425,10.953,0.941,72.4,0.886,0.213,0.36,0.838,0.231,#N/A,Europe,Europe
New Zealand,2017,7.327,10.633,0.955,73,0.942,0.294,0.222,0.817,0.172,Developed,Oceania,Asia & Pacific
New Zealand,2018,7.37,10.66,0.954,73.2,0.949,0.12,0.207,0.845,0.168,Developed,Oceania,Asia & Pacific
New Zealand,2019,7.205,10.666,0.939,73.4,0.912,0.157,0.234,0.816,0.191,Developed,Oceania,Asia & Pacific
Nicaragua,2017,6.476,8.7,0.838,67.2,0.922,0.01,0.673,0.85,0.308,Developing,North America,South/Latin America
Nicaragua,2018,5.819,8.647,0.854,67.5,0.797,0.009,0.713,0.793,0.408,Developing,North America,South/Latin America
Nicaragua,2019,6.113,8.595,0.874,67.8,0.883,0.029,0.622,0.835,0.337,Developing,North America,South/Latin America
Niger,2017,4.616,7.058,0.582,53,0.684,-0.03,0.778,0.731,0.427,#N/A,Africa,Africa
Niger,2018,5.164,7.087,0.612,53.5,0.791,0.009,0.637,0.771,0.503,#N/A,Africa,Africa
Niger,2019,5.004,7.106,0.677,54,0.831,0.026,0.729,0.816,0.304,#N/A,Africa,Africa
Nigeria,2017,5.322,8.555,0.733,49.3,0.826,0.124,0.835,0.725,0.236,Developing,Africa,Africa
Nigeria,2018,5.252,8.548,0.741,49.7,0.79,-0.01,0.866,0.805,0.256,Developing,Africa,Africa
Nigeria,2019,4.356,8.544,0.734,50.1,0.729,0.032,0.873,0.715,0.245,Developing,Africa,Africa
North Cyprus,2018,5.608,,0.837,,0.797,,0.614,0.48,0.262,#N/A,Europe,Europe
North Cyprus,2019,5.467,,0.803,,0.793,,0.64,0.494,0.296,#N/A,Europe,Europe
North Macedonia,2017,5.234,9.65,0.8,65.303,0.752,-0.059,0.856,0.502,0.299,#N/A,Europe,Europe
North Macedonia,2018,5.24,9.677,0.849,65.389,0.745,-0.041,0.91,0.59,0.298,#N/A,Europe,Europe
North Macedonia,2019,5.015,9.711,0.815,65.474,0.725,0.024,0.923,0.576,0.304,#N/A,Europe,Europe
Norway,2017,7.579,11.05,0.95,73.1,0.953,0.236,0.25,0.849,0.203,Developed,Europe,Europe
Norway,2018,7.444,11.056,0.966,73.2,0.96,0.094,0.268,0.827,0.212,Developed,Europe,Europe
Norway,2019,7.442,11.061,0.942,73.3,0.954,0.111,0.271,0.823,0.195,Developed,Europe,Europe
Pakistan,2017,5.831,8.428,0.69,58.1,0.713,0.045,0.714,0.586,0.308,Developing,Asia,Asia & Pacific
Pakistan,2018,5.472,8.464,0.685,58.5,0.773,0.069,0.799,0.567,0.377,Developing,Asia,Asia & Pacific
Pakistan,2019,4.443,8.453,0.617,58.9,0.685,0.124,0.776,0.581,0.424,Developing,Asia,Asia & Pacific
Palestinian Territories,2017,4.628,8.485,0.824,,0.632,-0.163,0.831,0.597,0.416,#N/A,Asia,Asia & Pacific
Palestinian Territories,2018,4.554,,0.819,,0.655,,0.814,0.61,0.419,#N/A,Asia,Asia & Pacific
Palestinian Territories,2019,4.483,,0.833,,0.653,,0.829,0.625,0.4,#N/A,Asia,Asia & Pacific
Panama,2017,6.568,10.324,0.912,69.5,0.9,-0.17,0.841,0.833,0.242,Developing,North America,South/Latin America
Panama,2018,6.281,10.343,0.904,69.6,0.861,-0.131,0.837,0.884,0.223,Developing,North America,South/Latin America
Panama,2019,6.086,10.356,0.886,69.7,0.883,-0.199,0.869,0.878,0.244,Developing,North America,South/Latin America
Paraguay,2017,5.713,9.441,0.902,65.5,0.891,0.003,0.81,0.903,0.232,Developing,South America,South/Latin America
Paraguay,2019,5.653,9.448,0.892,65.9,0.876,0.028,0.882,0.858,0.275,Developing,South America,South/Latin America
Peru,2017,5.711,9.434,0.83,67.8,0.827,-0.154,0.895,0.789,0.394,Developing,South America,South/Latin America
Peru,2018,5.68,9.456,0.845,68.1,0.83,-0.178,0.906,0.809,0.38,Developing,South America,South/Latin America
Peru,2019,5.999,9.461,0.809,68.4,0.815,-0.13,0.874,0.82,0.375,Developing,South America,South/Latin America
Philippines,2017,5.594,9.002,0.851,61.8,0.926,-0.141,0.711,0.769,0.341,#N/A,Asia,Asia & Pacific
Philippines,2018,5.869,9.05,0.846,61.9,0.918,-0.108,0.726,0.773,0.393,#N/A,Asia,Asia & Pacific
Philippines,2019,6.268,9.095,0.845,62,0.91,-0.083,0.748,0.781,0.341,#N/A,Asia,Asia & Pacific
Poland,2017,6.201,10.314,0.882,68.9,0.831,-0.122,0.639,0.677,0.203,Developed,Europe,Europe
Poland,2018,6.111,10.366,0.863,69.3,0.87,-0.254,0.72,0.742,0.176,Developed,Europe,Europe
Poland,2019,6.242,10.407,0.878,69.7,0.883,-0.231,0.696,0.725,0.168,Developed,Europe,Europe
Portugal,2017,5.711,10.407,0.9,72.2,0.905,-0.176,0.881,0.649,0.294,Developed,Europe,Europe
Portugal,2018,5.92,10.434,0.887,72.4,0.877,-0.261,0.88,0.679,0.318,Developed,Europe,Europe
Portugal,2019,6.095,10.457,0.876,72.6,0.882,-0.234,0.915,0.71,0.3,Developed,Europe,Europe
Romania,2017,6.09,10.211,0.811,66.9,0.839,-0.16,0.926,0.734,0.231,Developed,Europe,Europe
Romania,2018,6.151,10.26,0.818,67.2,0.845,-0.217,0.921,0.735,0.298,Developed,Europe,Europe
Romania,2019,6.13,10.306,0.842,67.5,0.848,-0.221,0.954,0.697,0.244,Developed,Europe,Europe
Russia,2017,5.579,10.166,0.896,63.9,0.731,-0.145,0.862,0.71,0.195,#N/A,Europe,Europe
Russia,2018,5.514,10.191,0.909,64.3,0.729,-0.147,0.865,0.673,0.199,#N/A,Europe,Europe
Russia,2019,5.441,10.205,0.91,64.7,0.715,-0.116,0.848,0.691,0.2,#N/A,Europe,Europe
Rwanda,2017,3.108,7.588,0.517,60.5,0.908,0.051,0.214,0.762,0.358,Developing,Africa,Africa
Rwanda,2018,3.561,7.644,0.616,61.1,0.924,0.057,0.164,0.793,0.308,Developing,Africa,Africa
Rwanda,2019,3.268,7.708,0.489,61.7,0.869,0.064,0.168,0.736,0.418,Developing,Africa,Africa
Saudi Arabia,2017,6.294,10.764,0.84,66,0.814,-0.131,,0.775,0.306,Developing,Asia,Middle east
Saudi Arabia,2018,6.356,10.771,0.868,66.3,0.855,-0.192,,0.764,0.288,Developing,Asia,Middle east
Saudi Arabia,2019,6.561,10.757,0.912,66.6,0.891,-0.147,,0.732,0.238,Developing,Asia,Middle east
Senegal,2017,4.683,8.072,0.744,59.2,0.687,-0.044,0.825,0.746,0.291,Developing,Africa,Africa
Senegal,2018,4.769,8.106,0.739,59.6,0.629,-0.074,0.805,0.714,0.247,Developing,Africa,Africa
Senegal,2019,5.489,8.13,0.688,60,0.759,-0.019,0.796,0.789,0.332,Developing,Africa,Africa
Serbia,2017,5.122,9.713,0.884,67.8,0.685,-0.077,0.851,0.51,0.326,Developed,Europe,Europe
Serbia,2018,5.936,9.762,0.853,68.2,0.74,-0.1,0.864,0.559,0.296,Developed,Europe,Europe
Serbia,2019,6.241,9.808,0.903,68.6,0.753,-0.04,0.813,0.509,0.242,Developed,Europe,Europe
Sierra Leone,2017,4.09,7.404,0.652,49.2,0.711,0.079,0.848,0.6,0.495,Developing,Africa,Africa
Sierra Leone,2018,4.306,7.417,0.65,50.8,0.716,0.095,0.856,0.552,0.466,Developing,Africa,Africa
Sierra Leone,2019,3.447,7.449,0.611,52.4,0.718,0.074,0.874,0.513,0.438,Developing,Africa,Africa
Singapore,2017,6.378,11.461,0.897,76.5,0.926,0.136,0.162,0.8,0.179,Developing,Asia,Asia & Pacific
Singapore,2018,6.375,11.49,0.903,76.8,0.916,-0.066,0.097,0.787,0.107,Developing,Asia,Asia & Pacific
Singapore,2019,6.378,11.486,0.925,77.1,0.938,0.027,0.07,0.723,0.138,Developing,Asia,Asia & Pacific
Slovakia,2017,6.366,10.339,0.913,68.6,0.714,-0.055,0.92,0.788,0.213,Developed,Europe,Europe
Slovakia,2018,6.235,10.376,0.922,68.9,0.758,-0.167,0.91,0.754,0.253,Developed,Europe,Europe
Slovakia,2019,6.243,10.398,0.933,69.2,0.771,-0.129,0.926,0.75,0.252,Developed,Europe,Europe
Slovenia,2017,6.167,10.509,0.928,70.8,0.921,-0.025,0.829,0.615,0.286,Developed,Europe,Europe
Slovenia,2018,6.249,10.546,0.941,71.1,0.942,-0.119,0.839,0.644,0.275,Developed,Europe,Europe
Slovenia,2019,6.665,10.563,0.949,71.4,0.945,-0.102,0.785,0.679,0.228,Developed,Europe,Europe
South Africa,2017,4.514,9.45,0.87,56.1,0.787,-0.129,0.865,0.785,0.268,Developing,Africa,Africa
South Africa,2018,4.884,9.444,0.841,56.5,0.753,-0.05,0.841,0.812,0.283,Developing,Africa,Africa
South Africa,2019,5.035,9.432,0.848,56.9,0.738,-0.134,0.82,0.801,0.268,Developing,Africa,Africa
South Korea,2017,5.874,10.621,0.807,73.3,0.538,0.014,0.851,0.623,0.235,#N/A,Asia,Asia & Pacific
South Korea,2018,5.84,10.643,0.798,73.6,0.6,-0.089,0.797,0.661,0.217,#N/A,Asia,Asia & Pacific
South Korea,2019,5.903,10.661,0.783,73.9,0.706,-0.055,0.718,0.684,0.236,#N/A,Asia,Asia & Pacific
South Sudan,2017,2.817,,0.557,51,0.456,,0.761,0.586,0.517,Developing,Africa,Africa
Spain,2017,6.23,10.586,0.903,74.1,0.756,-0.032,0.791,0.625,0.302,Developed,Europe,Europe
Spain,2018,6.513,10.605,0.91,74.4,0.722,-0.075,0.777,0.659,0.357,Developed,Europe,Europe
Spain,2019,6.457,10.618,0.949,74.7,0.778,-0.049,0.73,0.663,0.316,Developed,Europe,Europe
Sri Lanka,2017,4.331,9.44,0.823,67,0.827,0.094,0.844,0.795,0.27,Developing,Asia,Asia & Pacific
Sri Lanka,2018,4.435,9.462,0.833,67.2,0.859,0.106,0.856,0.831,0.302,Developing,Asia,Asia & Pacific
Sri Lanka,2019,4.213,9.479,0.815,67.4,0.824,0.051,0.863,0.816,0.315,Developing,Asia,Asia & Pacific
Swaziland,2018,4.212,9.06,0.779,50.353,0.71,-0.178,0.692,0.824,0.252,#N/A,Africa,Africa
Swaziland,2019,4.396,9.07,0.759,51.27,0.597,-0.191,0.724,0.778,0.28,#N/A,Africa,Africa
Sweden,2017,7.287,10.873,0.914,72.5,0.935,0.17,0.239,0.814,0.175,Developed,Europe,Europe
Sweden,2018,7.375,10.881,0.931,72.6,0.942,0.077,0.263,0.823,0.161,Developed,Europe,Europe
Sweden,2019,7.398,10.882,0.934,72.7,0.942,0.091,0.25,0.826,0.202,Developed,Europe,Europe
Switzerland,2017,7.474,11.115,0.95,73.8,0.925,0.18,0.316,0.774,0.196,Developed,Europe,Europe
Switzerland,2018,7.509,11.134,0.93,74.1,0.926,0.101,0.301,0.792,0.192,Developed,Europe,Europe
Switzerland,2019,7.694,11.136,0.949,74.4,0.913,0.036,0.294,0.798,0.171,Developed,Europe,Europe
Taiwan Province of China,2017,6.359,10.871,0.891,,0.76,-0.07,0.743,0.837,0.114,#N/A,Asia,Asia & Pacific
Taiwan Province of China,2018,6.467,,0.896,,0.741,,0.736,0.848,0.093,#N/A,Asia,Asia & Pacific
Taiwan Province of China,2019,6.537,,0.893,,0.814,,0.718,0.86,0.093,#N/A,Asia,Asia & Pacific
Tajikistan,2017,5.829,8.036,0.663,63.8,0.832,0.124,0.718,0.603,0.278,Developing,Asia,Asia & Pacific
Tajikistan,2018,5.497,8.082,0.875,64.1,,-0.065,0.578,0.695,0.22,Developing,Asia,Asia & Pacific
Tajikistan,2019,5.464,8.126,0.88,64.4,,-0.045,0.49,0.729,0.178,Developing,Asia,Asia & Pacific
Tanzania,2017,3.347,7.836,0.705,57,0.8,0.116,0.654,0.715,0.255,#N/A,Africa,Africa
Tanzania,2018,3.445,7.859,0.675,57.5,0.807,0.153,0.612,0.762,0.221,#N/A,Africa,Africa
Tanzania,2019,3.64,7.886,0.687,58,0.85,0.1,0.589,0.726,0.243,#N/A,Africa,Africa
Thailand,2017,5.939,9.765,0.877,67,0.923,0.212,0.884,0.816,0.232,Developing,Asia,Asia & Pacific
Thailand,2018,6.012,9.803,0.873,67.2,0.905,0.259,0.907,0.843,0.198,Developing,Asia,Asia & Pacific
Thailand,2019,6.022,9.824,0.903,67.4,0.898,0.309,0.877,0.843,0.208,Developing,Asia,Asia & Pacific
Togo,2017,4.361,7.324,0.508,54.3,0.717,-0.042,0.726,0.614,0.426,Developing,Africa,Africa
Togo,2018,4.023,7.348,0.596,54.7,0.612,-0.007,0.809,0.608,0.446,Developing,Africa,Africa
Togo,2019,4.179,7.375,0.539,55.1,0.617,0.065,0.737,0.59,0.444,Developing,Africa,Africa
Trinidad and Tobago,2017,6.192,10.183,0.916,63.5,0.859,0.015,0.911,0.846,0.248,Developing,North America,South/Latin America
Tunisia,2017,4.124,9.269,0.717,66.6,0.478,-0.219,0.869,0.421,0.377,Developing,Africa,Arab States
Tunisia,2018,4.741,9.284,0.733,66.9,0.65,-0.191,0.84,0.592,0.365,Developing,Africa,Arab States
Tunisia,2019,4.315,9.283,0.61,67.2,0.659,-0.209,0.889,0.539,0.433,Developing,Africa,Arab States
Turkey,2017,5.607,10.238,0.876,66.4,0.644,-0.237,0.671,0.45,0.313,Developing,Asia,Europe
Turkey,2018,5.186,10.251,0.847,66.8,0.529,-0.176,0.805,0.435,0.351,Developing,Asia,Europe
Turkey,2019,4.872,10.246,0.792,67.2,0.631,-0.136,0.76,0.422,0.368,Developing,Asia,Europe
Turkmenistan,2017,5.229,9.561,0.908,61.8,0.72,0.066,,0.521,0.35,Developing,Asia,Asia & Pacific
Turkmenistan,2018,4.621,9.605,0.984,62.2,0.858,0.26,,0.612,0.189,Developing,Asia,Asia & Pacific
Turkmenistan,2019,5.474,9.651,0.982,62.6,0.892,0.285,,0.51,0.183,Developing,Asia,Asia & Pacific
Uganda,2017,4.001,7.638,0.74,55.3,0.772,0.06,0.816,0.703,0.4,Developing,Africa,Africa
Uganda,2018,4.322,7.66,0.74,55.7,0.729,0.079,0.856,0.685,0.39,Developing,Africa,Africa
Uganda,2019,4.948,7.688,0.805,56.1,0.704,0.139,0.826,0.693,0.385,Developing,Africa,Africa
Ukraine,2017,4.311,9.382,0.858,64.3,0.599,-0.002,0.937,0.597,0.235,Developed,Europe,Europe
Ukraine,2018,4.662,9.42,0.901,64.6,0.663,-0.074,0.943,0.609,0.222,Developed,Europe,Europe
Ukraine,2019,4.702,9.458,0.883,64.9,0.715,-0.081,0.885,0.634,0.201,Developed,Europe,Europe
United Arab Emirates,2017,7.039,11.115,0.836,66.9,0.962,0.216,,0.795,0.208,#N/A,Asia,Middle east
United Arab Emirates,2018,6.604,11.112,0.851,67.1,0.944,0.054,,0.787,0.302,#N/A,Asia,Middle east
United Arab Emirates,2019,6.711,11.114,0.862,67.3,0.911,0.129,,0.793,0.284,#N/A,Asia,Middle east
United Kingdom,2017,7.103,10.736,0.937,72.1,0.813,0.291,0.419,0.759,0.21,#N/A,Europe,Europe
United Kingdom,2018,7.233,10.743,0.928,72.3,0.838,0.226,0.404,0.783,0.228,#N/A,Europe,Europe
United Kingdom,2019,7.157,10.751,0.943,72.5,0.854,0.271,0.485,0.775,0.251,#N/A,Europe,Europe
United States,2017,6.992,11.001,0.921,68.4,0.868,0.197,0.681,0.827,0.268,#N/A,North America,North America
United States,2018,6.883,11.025,0.904,68.3,0.825,0.116,0.71,0.815,0.292,#N/A,North America,North America
United States,2019,6.944,11.043,0.917,68.2,0.836,0.144,0.707,0.815,0.244,#N/A,North America,North America
Uruguay,2017,6.336,9.968,0.914,68.9,0.898,-0.091,0.627,0.836,0.28,Developing,South America,South/Latin America
Uruguay,2018,6.372,9.98,0.917,69,0.876,-0.097,0.683,0.877,0.275,Developing,South America,South/Latin America
Uruguay,2019,6.6,9.979,0.933,69.1,0.903,-0.095,0.599,0.889,0.222,Developing,South America,South/Latin America
Uzbekistan,2017,6.421,8.782,0.942,64.8,0.985,0.123,0.465,0.839,0.203,Developing,Asia,Asia & Pacific
Uzbekistan,2018,6.205,8.818,0.921,65.1,0.97,0.318,0.52,0.825,0.209,Developing,Asia,Asia & Pacific
Uzbekistan,2019,6.154,8.853,0.915,65.4,0.97,0.304,0.511,0.845,0.22,Developing,Asia,Asia & Pacific
Venezuela,2017,5.071,9.073,0.896,66.3,0.636,-0.169,0.844,0.726,0.363,#N/A,South America,South/Latin America
Venezuela,2018,5.006,,0.887,66.5,0.611,,0.828,0.759,0.374,#N/A,South America,South/Latin America
Venezuela,2019,5.081,,0.888,66.7,0.626,,0.839,0.761,0.351,#N/A,South America,South/Latin America
Vietnam,2017,5.175,8.876,,67.7,,,,,,#N/A,Asia,Asia & Pacific
Vietnam,2018,5.296,8.934,0.832,67.9,0.909,-0.041,0.808,0.692,0.191,#N/A,Asia,Asia & Pacific
Vietnam,2019,5.467,8.992,0.848,68.1,0.952,-0.126,0.788,0.751,0.186,#N/A,Asia,Asia & Pacific
Yemen,2017,3.254,7.578,0.79,55.9,0.595,-0.147,,0.455,0.295,Developing,Asia,Middle east
Yemen,2018,3.058,,0.789,56.7,0.553,,0.793,0.461,0.315,Developing,Asia,Middle east
Yemen,2019,4.197,,0.87,57.5,0.651,,0.798,0.543,0.213,Developing,Asia,Middle east
Zambia,2017,3.933,8.156,0.744,54.8,0.823,0.14,0.74,0.685,0.387,Developing,Africa,Africa
Zambia,2018,4.041,8.167,0.718,55.3,0.791,0.048,0.811,0.703,0.351,Developing,Africa,Africa
Zambia,2019,3.307,8.155,0.638,55.8,0.811,0.077,0.832,0.743,0.394,Developing,Africa,Africa
Zimbabwe,2017,3.638,8.016,0.754,55,0.753,-0.098,0.751,0.806,0.224,Developing,Africa,Africa
Zimbabwe,2018,3.616,8.049,0.775,55.6,0.763,-0.068,0.844,0.71,0.212,Developing,Africa,Africa
Zimbabwe,2019,2.694,7.95,0.759,56.2,0.632,-0.064,0.831,0.716,0.235,Developing,Africa,Africa