CountryName,year,Life Ladder,Log GDP,Social support,life exp,Free Life choice,Generosity,Corruption%,Posi affect,Nega affect,Confi in gov,Democratic,Delivery,GINI 00-17,gini(hhold income),Trust(81-84),Trust(94-98),Trust(05-09)
Liberia,2018,4.134852886,7.057189941,0.726750135,56.09999847,0.765769541,0.063384227,0.867924094,0.659731567,0.436099499,0.70391202,-0.117847972,-1.038041949,0.35,0.661966324,,,
Libya,2018,5.493977547,9.820405006,0.824165165,62.29999924,0.780558527,-0.1240087,0.645838797,0.705535412,0.398903102,,-1.981106281,-1.866143584,,0.596754014,,,
Lithuania,2018,6.308878899,10.34383869,0.929350138,67.30000305,0.698945105,-0.236302689,0.851745069,0.516805112,0.213559717,0.323758096,0.838079333,0.910233736,0.355,0.330166399,,0.213082254,
Luxembourg,2018,7.242630959,11.4482193,0.902192414,72.59999847,0.883929849,-0.018117551,0.385146111,0.750309467,0.201894343,0.755200863,1.470155001,1.858516932,0.316076923,0.326442361,,,
Macedonia,2018,5.239834785,9.509218216,0.84891516,67.5,0.744800925,-0.037230309,0.909934342,0.590138078,0.298352867,0.396141589,-0.10298568,-0.008344484,0.382142857,0.340062618,,0.075376883,
Madagascar,2018,4.070586681,7.281101227,0.665512979,59.09999847,0.551473081,0.005177877,0.889145672,0.752341032,0.362013817,0.442305923,-0.414243877,-0.925317764,0.43075,0.576086402,,,
Malawi,2018,3.334633589,7.058996677,0.527843475,57.59999847,0.798915148,0.060291581,0.765963793,0.586300433,0.364894032,0.572984874,-0.191557258,-0.630798101,0.433666667,0.702330112,,,
Malaysia,2018,5.338817596,10.24624062,0.789408565,67,0.874548256,0.116907127,0.894131124,0.824454665,0.200366735,0.732398391,0.076851055,0.673784018,0.439833333,0.4447622,,,0.088259786
Maldives,2018,5.197574615,9.518632889,0.913315058,70.59999847,0.854759276,0.038085498,,,,,-0.282681525,-0.603525162,0.3985,0.400257468,,,
Mali,2018,4.415729523,7.628334045,0.691859066,51.70000076,0.737204552,-0.031765934,0.793091416,0.770017266,0.369648188,0.510795414,-1.1802212,-0.761851907,0.372666667,0.598786891,,,0.171557561
Malta,2018,6.909710884,10.5491972,0.931541502,72.19999695,0.927340686,0.178217486,0.595199883,0.721224427,0.295698792,0.757713675,1.208754539,0.984862328,0.2911,0.385406852,,,
Mauritania,2018,4.313615322,8.222664833,0.801595509,57,0.466888547,-0.096153699,0.710529268,0.663382471,0.275557995,0.258394152,-0.760927856,-0.757670462,0.36875,,,,
Mauritius,2018,5.88174057,9.955833435,0.90884155,66.40000153,0.866928101,-0.077778153,0.78524971,0.77395165,0.157993257,0.619251132,0.816718757,0.738143384,0.371,0.432353795,,,
Mexico,2018,6.549578667,9.803771973,0.858068883,68.30000305,0.816200495,-0.18029736,0.808638096,0.88171345,0.213254362,0.294568479,-0.289177388,-0.384742588,0.4945,0.456424832,0.176534802,0.294242173,0.154983923
Moldova,2018,5.682277203,8.777977943,0.89207989,65,0.823824346,-0.045272201,0.928719878,0.58171463,0.27007246,0.237631857,-0.227829248,-0.413965732,0.322333333,0.400689602,,0.218495935,0.175908223
Mongolia,2018,5.464622974,9.409949303,0.941514134,62.29999924,0.695546806,0.044497125,0.848502219,0.654125035,0.191890299,0.270371318,0.525673151,-0.23937048,0.334,0.364350021,,,
Montenegro,2018,5.650189877,9.757191658,0.855979621,68.5,0.626431286,-0.046542142,0.768922508,0.589933157,0.354935259,0.398499161,0.094077423,0.153808981,0.3094,0.406528622,,0.304166675,
Morocco,2018,4.896791935,8.94073391,0.553759754,65.90000153,0.773180425,-0.243347257,0.843172729,0.638049185,0.415981561,,-0.497464448,-0.201780871,0.402666667,0.543106675,,,0.129991502
Mozambique,2018,4.653713703,7.073585987,0.738480449,54.20000076,0.896621585,0.050252248,0.691220403,0.639639556,0.397278726,0.832037926,-0.625558257,-0.856422663,0.488666667,0.784366608,,,
Myanmar,2018,4.410633087,8.686433792,0.773825943,59,0.906110823,0.47193861,0.646725893,0.776950598,0.300140351,0.878752649,-1.098166227,-0.86067462,0.381,0.424045384,,,
Namibia,2018,4.834087849,9.200050354,0.864214778,56.5,0.75390476,-0.176020458,0.845942497,0.739386976,0.240249082,0.62446779,0.570025444,0.159720987,0.611333333,0.771211088,,,
Nepal,2018,4.910086632,7.909842968,0.768335521,63.5,0.770093679,0.129088178,0.741752803,0.536977708,0.386792421,0.648398161,-0.37855196,-0.699923754,0.383,0.497896463,,,
Netherlands,2018,7.463097095,10.81551075,0.939443171,72.30000305,0.919985175,0.160900056,0.370557785,0.861976624,0.204794183,0.656541049,1.232368708,1.923523188,0.286333333,0.467997849,,,0.435723454
New Zealand,2018,7.370285988,10.50106621,0.953862727,73.19999695,0.94930017,0.122057065,0.206580222,0.845362604,0.16795145,0.64246124,1.582491875,1.925015926,,0.388641357,,0.483870953,0.511602223
Nicaragua,2018,5.81895256,8.499033928,0.854276538,67.5,0.797056854,0.013160613,0.712824762,0.792649329,0.408349842,0.343466878,-0.942207813,-0.897981703,0.4795,0.429590642,,,
Niger,2018,5.164007187,6.837319374,0.612025678,53.5,0.790665627,0.022408206,0.637166798,0.770557642,0.502554536,0.747923851,-0.922541022,-0.641634703,0.36875,,,,
Nigeria,2018,5.252288342,8.578443527,0.740854204,49.70000076,0.789881051,-0.018955085,0.865602672,0.80526185,0.256469876,0.45174095,-1.300313711,-0.957733512,0.4155,0.448463321,,0.176875904,
North Cyprus,2018,5.608056068,,0.837391794,,0.797066092,,0.613837004,0.480453104,0.261867821,0.378323644,,,,0.200969219,,,
Norway,2018,7.444262028,11.0889101,0.965961933,73.19999695,0.960429013,0.081801169,0.268201441,0.827414036,0.21186237,0.679502964,1.443175673,1.925274134,0.272230769,0.336649179,,0.647737384,0.737304688
Pakistan,2018,5.471553802,8.502672195,0.685059488,58.5,0.77256912,0.059652407,0.798841655,0.567294776,0.376706064,0.58938849,-1.534064054,-0.685510397,0.315125,0.381664693,,0.203742206,
Palestinian Territories,2018,4.5539217,,0.819479287,,0.654534519,,0.813779533,0.610405445,0.418928534,0.392373383,-1.318706512,-0.346896291,,0.48242107,,,
Panama,2018,6.281434059,10.0289917,0.904389799,69.59999847,0.861448109,-0.11679735,0.83693099,0.883580506,0.222598746,0.277477711,0.428827643,-0.06102182,0.529888889,0.570101619,,,
Peru,2018,5.679661274,9.456748009,0.84530139,68.09999847,0.829641998,-0.186320111,0.906244636,0.808621466,0.380032867,0.202403098,-0.012383185,-0.196101815,0.474555556,0.503060997,,0.048720066,0.062890917
Philippines,2018,5.869172573,8.979984283,0.845803261,61.90000153,0.917808175,-0.110120095,0.726483345,0.772846103,0.393481076,0.802007139,-0.541928113,-0.231766015,0.4645,0.474451542,,0.055,
Poland,2018,6.111485004,10.26644993,0.863444209,69.30000305,0.870215118,-0.256160796,0.720451355,0.742414594,0.176010624,0.427517712,0.634425044,0.65347296,0.33875,0.259132713,,0.169124022,0.181796342
Portugal,2018,5.919822693,10.26421642,0.887113273,72.40000153,0.877404213,-0.258045137,0.87972784,0.679104149,0.317994744,0.520630658,1.172319055,1.022420406,0.367538462,0.41846633,,,
Romania,2018,6.150878906,10.10822392,0.81793046,67.19999695,0.84515959,-0.215162858,0.921170175,0.735342503,0.298453927,0.226351306,0.258544385,0.098942317,0.3658,0.348827481,,0.179176763,0.196664751
Russia,2018,5.513500214,10.13947296,0.908726096,64.30000305,0.7292822,-0.152117521,0.865311563,0.673346281,0.198796302,0.45583874,-0.78086412,-0.565451145,0.3975,0.395370573,,0.232352942,0.247649342
Rwanda,2018,3.5610466,7.602468491,0.616172731,61.09999847,0.924231648,0.054650333,0.163809955,0.793367624,0.308199167,0.988120437,-0.506982803,0.24683398,0.473,0.647505581,,,0.048569527
Saudi Arabia,2018,6.356393337,10.79948616,0.867848396,66.30000305,0.85492152,-0.203871474,,0.764405489,0.288379908,,-1.081171513,0.194757178,,0.472084254,,,
Senegal,2018,4.769377232,8.118605614,0.739354789,59.59999847,0.629223466,-0.080519482,0.80477947,0.713894129,0.247074723,0.588927925,0.075530767,-0.15206638,0.402333333,0.393896788,,,
Serbia,2018,5.936493397,9.682552338,0.852945328,68.19999695,0.739891827,-0.101962924,0.863723576,0.558940828,0.296295851,0.476144999,0.042154621,-0.09938857,0.396,0.356202871,,0.284375012,
Sierra Leone,2018,4.305683136,7.262166977,0.649638355,50.79999924,0.716484487,0.101420261,0.855733216,0.551628053,0.466266662,0.779726207,-0.104530133,-0.827663243,0.371,0.690721095,,,
Singapore,2018,6.374564171,11.40857983,0.902840674,76.80000305,0.91607821,-0.070377715,0.096562929,0.787092984,0.106870778,0.892469287,0.725614965,2.095613718,,0.399787635,,,
Slovakia,2018,6.23511076,10.35221291,0.922378719,68.90000153,0.757634044,-0.174677894,0.909944654,0.75410521,0.253190041,0.327658623,0.814339638,0.602558374,0.26725,0.274584681,,0.257534236,
Slovenia,2018,6.249419212,10.39643002,0.940971196,71.09999847,0.942045867,-0.117247649,0.839252532,0.643971622,0.27548486,0.239274636,0.950989723,0.937337279,0.2495,0.34900409,,0.1529295,0.175898924
South Africa,2018,4.8839221,9.404647827,0.841343999,56.5,0.752731323,-0.055171583,0.841192603,0.812166572,0.282708496,0.5246858,0.190358356,0.097056501,0.624,0.685774684,0.290300071,0.175728798,
South Korea,2018,5.840231419,10.5126152,0.79772383,73.59999847,0.600161672,-0.088746227,0.796825886,0.66120857,0.217145726,0.389084011,0.670515239,1.029568315,0.319,0.398590952,0.380174279,0.302642107,0.282497466
Spain,2018,6.513370991,10.46469212,0.910314679,74.40000153,0.7222507,-0.074071385,0.776504457,0.659188032,0.357190847,0.285195619,0.659527779,0.882467508,0.345384615,0.359143615,,0.286672652,0.198379636
Sri Lanka,2018,4.435023785,9.388946533,0.832882166,67.19999695,0.858873606,0.103593104,0.855907619,0.830616057,0.301813632,0.582941115,-0.087190285,-0.174218416,0.3934,0.407672912,,,
Swaziland,2018,4.211565018,9.162239075,0.779269755,50.58631516,0.709973693,-0.193076208,0.692341149,0.824354708,0.252339154,0.689548731,-0.823841214,-0.432559729,0.523,0.732568085,,,
Sweden,2018,7.374792099,10.76201344,0.93067956,72.59999847,0.941724658,0.075677998,0.262796581,0.822675705,0.160755426,0.49439624,1.262371063,1.91663909,0.274153846,0.381509691,0.570789635,0.565906823,0.679727852
Switzerland,2018,7.508586884,10.98561859,0.930290997,74.09999847,0.926414549,0.101783037,0.301259965,0.792225957,0.191520154,0.84997946,1.4806422,1.940240026,0.3281,0.320724994,,0.378479093,0.518936038
Taiwan Province of China,2018,6.467004776,,0.896458745,,0.741032779,,0.735970736,0.848398566,0.092695646,0.311722934,0.91543889,1.21444416,,0.330177575,,,
Tajikistan,2018,5.497468948,8.026519775,0.875243485,64.09999847,,-0.066762313,0.577945948,0.694633186,0.219793811,,-1.206858277,-1.210999489,0.3266,0.35606721,,,
Tanzania,2018,3.445023298,7.969771862,0.6753304,57.5,0.807142138,0.13950853,0.611534059,0.762089312,0.221005499,0.914648473,-0.461791337,-0.593028426,0.384666667,0.568629265,,,
Thailand,2018,6.011561871,9.735346794,0.873052418,67.19999695,0.90482825,0.255532324,0.906596005,0.843489408,0.198190212,0.605364442,-0.869340301,0.021521257,0.392733333,0.482406765,,,0.415081978
Togo,2018,4.022894859,7.355933189,0.596353889,54.70000076,0.611966252,-0.012457929,0.808537722,0.608448625,0.446454376,0.323221207,-0.862419307,-0.756701827,0.437666667,0.444903791,,,
Tunisia,2018,4.741132259,9.314383507,0.732953548,66.90000153,0.649680078,-0.200811476,0.84011662,0.591726601,0.365014285,0.349490464,-0.345538557,-0.132594451,0.36775,0.431391299,,,
Turkey,2018,5.185689449,10.1380291,0.847027302,66.80000305,0.528629065,-0.176209301,0.804878533,0.434654295,0.350773096,0.513677061,-1.080861092,-0.174015671,0.4058,0.36262396,,0.06466376,0.048552454
Turkmenistan,2018,4.620601654,9.748527527,0.984488964,62.20000076,0.857774079,0.24129355,,0.612210274,0.189024538,,-1.075306177,-1.463231325,,0.247762427,,,
Uganda,2018,4.321714878,7.499628544,0.739841044,55.70000076,0.728512764,0.085156597,0.856106222,0.685168505,0.390319228,0.50385344,-0.679032624,-0.547333002,0.4322,0.655502677,,,
Ukraine,2018,4.661909103,9.011637688,0.900936723,64.59999847,0.663055062,-0.052373677,0.942960739,0.608771086,0.221851483,0.079710059,-0.919957578,-0.556694865,0.265,0.349749237,,0.287797928,0.266814858
United Arab Emirates,2018,6.603743553,11.10669899,0.851041317,67.09999847,0.943664372,0.044405125,,0.787243485,0.302041829,,-0.18304804,1.080240965,,0.721078634,,,
United Kingdom,2018,7.233445168,10.6005764,0.928483903,72.30000305,0.83750838,0.227180555,0.404276013,0.783171833,0.228275612,0.420859873,0.716346979,1.642240286,0.341083333,0.417473197,,0.304498315,0.300558358
United States,2018,6.882684708,10.92739487,0.903856039,68.30000305,0.824606657,0.113377593,0.709928274,0.8153826,0.292226255,0.3138161,0.758394837,1.482864618,0.408166667,0.701417923,0.453547865,0.349512935,0.393451452
Uruguay,2018,6.371714592,9.94827652,0.917315602,69,0.876210928,-0.103305973,0.682916045,0.876920342,0.274945587,0.361706048,1.12942934,0.730532765,0.424666667,0.437541783,,0.216404811,0.284393072
Uzbekistan,2018,6.205460072,8.73878479,0.920821011,65.09999847,0.969897985,0.3164258,0.520360112,0.825421572,0.208660305,0.969356358,-0.949705243,-0.948073864,0.348,0.385756522,,,
Venezuela,2018,5.005663395,,0.886882067,66.5,0.610855222,,0.827560008,0.759221494,0.373657614,0.260699689,-1.378953934,-1.930505514,0.497166667,,,0.13333334,
Vietnam,2018,5.295547009,8.79613018,0.83194524,67.90000153,0.909259796,-0.037812717,0.808422983,0.692222416,0.191061363,,-0.62111789,-0.219483897,0.36275,0.415666252,,,0.510053635
Yemen,2018,3.057513952,7.734108448,0.789421916,56.70000076,0.55272609,-0.148377404,0.792586863,0.461113781,0.31486994,0.308151186,-2.376622438,-1.802230954,0.357,0.448596567,,,
Zambia,2018,4.041488171,8.228970528,0.717720389,55.29999924,0.79062593,0.037524644,0.810731292,0.702697575,0.350962847,0.606715262,-0.089234382,-0.500723898,0.5274,0.619443059,,,0.110429451
Zimbabwe,2018,3.616479874,7.896704197,0.775388479,55.59999847,0.762674868,-0.063282222,0.844208658,0.710118651,0.211725846,0.550507784,-0.920905113,-1.323000431,0.432,0.541771829,,,
